band,wavelength_nm
1,406.9934
2,415.839
3,423.7848
4,431.3347
5,438.6569
6,446.0147
7,453.3985
8,460.7318
9,468.0984
10,475.3188
11,482.5432
12,489.7949
13,497.0587
14,504.5117
15,512.0446
16,519.5438
17,527.3053
18,535.0526
19,542.8851
20,550.9146
21,559.0203
22,567.2061
23,575.8468
24,583.8441
25,592.339
26,601.0144
27,609.9582
28,618.72
29,627.7784
30,636.6763
31,645.9638
32,655.4138
33,664.8941
34,674.4644
35,684.1373
36,694.1284
37,703.737
38,713.7269
39,723.8799
40,733.9552
41,744.1495
42,754.6596
43,764.8564
44,775.2735
45,785.6595
46,796.127
47,806.7111
48,817.311
49,827.964
50,838.5272
51,849.2769
52,859.9731
53,870.7426
54,881.4561
55,892.0509
56,902.8016
57,913.6341
58,923.9502
59,934.6754
60,944.6273
61,957.0267
62,967.0
63,977.3654
